[2024-09-05 22:50:11] [ INFO ] [OdontologoController:29] y q pasa
[2024-09-12 17:38:28] [ INFO ] [DatosIniciales:26] usuario cargado con exito
[2024-09-12 17:48:36] [ INFO ] [DatosIniciales:31] usuario cargado con exito
[2024-09-12 17:52:11] [ INFO ] [DatosIniciales:31] usuario cargado con exito
[2024-09-12 17:57:23] [ INFO ] [DatosIniciales:31] usuario cargado con exito
[2024-09-12 18:07:01] [ INFO ] [DatosIniciales:31] usuario cargado con exito
[2024-09-12 18:15:19] [ INFO ] [DatosIniciales:31] usuario cargado con exito
[2024-09-12 18:19:17] [ INFO ] [DatosIniciales:31] usuario cargado con exito
[2024-09-12 18:22:59] [ INFO ] [DatosIniciales:31] usuario cargado con exito
[2024-09-12 18:25:06] [ INFO ] [DatosIniciales:31] usuario cargado con exito
[2024-09-12 20:30:37] [ INFO ] [DatosIniciales:34] usuario cargado con exito
[2024-09-12 21:54:11] [ INFO ] [DatosIniciales:34] usuario cargado con exito
[2024-09-12 21:56:37] [ INFO ] [DatosIniciales:34] usuario cargado con exito
[2024-09-12 22:12:28] [ INFO ] [DatosIniciales:34] usuario cargado con exito
[2024-09-12 22:17:12] [ INFO ] [DatosIniciales:34] usuario cargado con exito
[2024-09-12 22:19:43] [ INFO ] [DatosIniciales:34] usuario cargado con exito
[2024-09-12 22:22:11] [ INFO ] [DatosIniciales:34] usuario cargado con exito
[2024-09-12 22:22:11] [ INFO ] [OdontologoController:56] org.springframework.test.web.servlet.DefaultMvcResult@1150b923
[2024-09-12 22:35:07] [ INFO ] [DatosIniciales:34] usuario cargado con exito
[2024-09-12 22:36:37] [ INFO ] [DatosIniciales:34] usuario cargado con exito
[2024-09-12 22:57:39] [ INFO ] [DatosIniciales:34] usuario cargado con exito
[2024-09-12 23:07:23] [ INFO ] [DatosIniciales:34] usuario cargado con exito
[2024-09-12 23:09:34] [ INFO ] [DatosIniciales:34] usuario cargado con exito
[2024-09-12 23:10:31] [ INFO ] [DatosIniciales:34] usuario cargado con exito
[2024-09-12 23:29:08] [ INFO ] [DatosIniciales:34] usuario cargado con exito
